,ADANIENT.csv,ADANIPORTS.csv,APOLLOHOSP.csv,ASIANPAINT.csv,AXISBANK.csv,BAJAJ-AUTO.csv,BAJAJFINSV.csv,BAJFINANCE.csv,BANKNIFTY.csv,BEL.csv,BHARTIARTL.csv,BPCL.csv,BRITANNIA.csv,CIPLA.csv,COALINDIA.csv,DRREDDY.csv,EICHERMOT.csv,GRASIM.csv,HCLTECH.csv,HDFCBANK.csv,HDFCLIFE.csv,HEROMOTOCO.csv,HINDALCO.csv,HINDUNILVR.csv,ICICIBANK.csv,INDUSINDBK.csv,INFY.csv,ITC.csv,JSWSTEEL.csv,KOTAKBANK.csv,LT.csv,M&M.csv,MARUTI.csv,NESTLEIND.csv,NIFTY50.csv,NTPC.csv,ONGC.csv,POWERGRID.csv,RELIANCE.csv,SBILIFE.csv,SBIN.csv,SHRIRAMFIN.csv,SUNPHARMA.csv,TATACONSUM.csv,TATAMOTORS.csv,TATASTEEL.csv,TCS.csv,TECHM.csv,TITAN.csv,TRENT.csv,ULTRACEMCO.csv,WIPRO.csv
ADANIENT.csv,,0.4756417726327885,0.5801347469297875,0.41298595299280544,0.35268749487619067,0.364626266836129,0.42203214660661975,0.3581407377542905,0.4425650950129356,0.4246745109016964,0.4064479920047239,0.37189885442888204,0.267949448455705,0.3344239279106421,0.3094273580722309,0.28923594724814033,0.2863979714402918,0.4696388186772487,0.34247739126521665,0.3799744480872371,0.3093266707043616,0.2802067013046725,0.47409965093405704,0.19869825855880846,0.4647921803484199,0.35392753006102007,0.35125348035171433,0.2858271112211277,0.5445501082088092,0.376390433038343,0.39640041502668183,0.44878337648284794,0.2474765081158799,0.20010622905974423,0.4512112148361639,0.3726222609169881,0.4041164609089221,0.37409557872541377,0.2059349847035547,0.3213891249877698,0.5779665746367642,0.34854289317096304,0.4435390286413868,0.3279816647193918,0.38962008713342977,0.5430887586655486,0.3274491168729931,0.3525482487679149,0.2816873515029926,0.39000061859332436,0.4652530564217311,0.22332809584968843
ADANIPORTS.csv,0.4756417726327885,,0.25294497630685925,0.8067143627874069,0.3537590569753479,0.011706757588137573,0.8718392117482814,0.8708031357868455,0.48873116208313044,0.10127693427426898,0.2603927041045757,0.12085233579733512,0.382551049924379,0.006027931409480567,0.02124754621558433,0.04299792646875602,0.12074375502785634,0.06996454605951999,0.24932700265387375,0.7253509748095581,0.7868161191318186,0.0019819453861702457,0.11610993238993245,0.7978725107533208,0.4778916199456665,0.9420047580389745,0.6540352414455417,0.6895914282320424,0.42179921282383626,0.6413004923413714,0.4361410536169082,0.23491867511144543,0.11959988441627206,0.32719028965104924,0.2704473942563269,0.0824732590160217,0.027411373046023414,0.030758680653509163,0.26444806275893495,0.2854870614646805,0.274794417980069,0.14910345897073202,0.32789850789760977,0.07827232151105862,0.13487524953241042,0.2946099426700853,0.09229658459195089,0.6097937137490194,0.6223982951326886,0.17823786424702698,0.19448201186334768,0.8162299773843347
APOLLOHOSP.csv,0.5801347469297875,0.25294497630685925,,0.9623937412950746,0.16073300737805085,0.08628666828345888,0.7992266170276704,0.7571216340855913,0.08945144224182133,0.03576970459834409,0.03885130313165462,0.3397531017593205,0.4364642866467324,0.04658782781094715,0.13169661689963208,0.03448815477895404,0.1516921382394147,0.009316871331563779,0.007099909676721887,0.3139135885792107,0.836903508571876,0.14647370879036364,0.0713555274692966,0.8599287399495423,0.012677779449471367,0.9508194371721606,0.47912488547357374,0.453947277814545,0.0589633022449122,0.7785670340425646,0.10910361118146328,0.04648312511557355,0.07835832773194289,0.5534508407251092,0.008278860411074635,0.05152771220806107,0.11430869668131077,0.041641806090378805,0.4821263089196228,0.08608919373656299,0.059278292250637264,0.19966488863994208,0.010489959076033397,0.471257591948613,0.4130778187985576,0.29115485896963894,0.02000226533768084,0.29113245314518105,0.3310206015581278,0.041757644264489975,0.023310690647684942,0.8183878200666688
ASIANPAINT.csv,0.41298595299280544,0.8067143627874069,0.9623937412950746,,0.44325450075735506,0.35877791945454984,0.4641752296012994,0.32407412293998616,0.49955057390523033,0.38613842305705737,0.39990584543548646,0.291634284053336,0.4674253613469984,0.43956359370392784,0.4095852754602888,0.364731641503814,0.41577964680317314,0.4873624054543418,0.3847968346143263,0.45205872176483286,0.4170556482652814,0.345676421051624,0.4754591338580134,0.5805449259417833,0.4990679481475357,0.3811857706090713,0.6274080575726312,0.48079998956168235,0.5080477161447373,0.2761022408606124,0.4406058987406219,0.35535610986652755,0.44917366490368044,0.46774542590424584,0.5025687931608821,0.41656297218315363,0.41954575084141754,0.397806579860337,0.474556079189842,0.6077390162001292,0.4538916120810017,0.3620888544515076,0.41513374452210144,0.48202655685918894,0.4455453596617525,0.4629181130221605,0.4763115853890114,0.6360065615189836,0.5379791098877876,0.34282341981599085,0.4396999640629754,0.5877457021694108
AXISBANK.csv,0.35268749487619067,0.3537590569753479,0.16073300737805085,0.44325450075735506,,0.13316518500109165,0.9165122051958012,0.8421633944517591,0.051506259434255394,0.11979293347767861,0.24724989036017325,0.4134104821120384,0.0007087406411800492,0.02424687679808817,0.026318601078629763,0.04186512799101082,0.08435086182325247,0.09207883848540993,0.24104592283342502,0.4516784089535851,0.7800703932699833,0.2121230397979239,0.2944913829379156,0.6514740546433384,0.6837154774746342,0.9171146770820574,0.7529377744999747,0.17784176352007047,0.07943036564259565,0.6120034240483941,0.009089012861186414,0.39242502499119586,0.012347488897255779,0.04206044797600893,0.31655738594773064,0.025868762980494956,0.14566264608197427,0.11187301664574906,0.47974503344059133,0.137289516314061,0.18122521234057953,0.19283679344506066,0.10890249267592417,0.22184905790403647,0.1452230064865822,0.4790881233030387,0.3293393536307112,0.7431186056571286,0.24777888008450383,0.4272284777542486,0.17823976681726478,0.795655683219066
BAJAJ-AUTO.csv,0.364626266836129,0.011706757588137573,0.08628666828345888,0.35877791945454984,0.13316518500109165,,0.970737598432538,0.9750037224314161,0.39861221598237073,0.26374062132902076,0.6011714212654198,0.37240239519396334,0.5987145560326955,0.18583932515929807,0.28341527873589345,0.08837911243380808,0.3267525959016642,0.035976601573417664,0.4990155913013612,0.7740800441837847,0.9703122901644371,0.10528118160503669,0.24769530059681766,0.9797125644553931,0.4287891849709151,0.9931032592570628,0.9136948807542169,0.8315644247027628,0.31671233505607793,0.8608714935129171,0.5088401983329365,0.28288151935600525,0.4940915276253622,0.8516874457066228,0.2247569935207301,0.11767790477908546,0.040296306142799644,0.07056916235082573,0.7622199465558179,0.6386706763487052,0.14237659992071133,0.003353780425705094,0.3825479866249663,0.544846882962603,0.5212175510007757,0.48164412778320226,0.16799652968856893,0.8780598462372922,0.8906387835322549,0.5505423857875662,0.13087525468552363,0.9560718481096159
BAJAJFINSV.csv,0.42203214660661975,0.8718392117482814,0.7992266170276704,0.4641752296012994,0.9165122051958012,0.970737598432538,,0.02195980473374196,0.39447520353677,0.2231939208888592,0.23682631720244807,0.18781649860605798,0.20568260900898533,0.20400641908169398,0.19637436944499792,0.13799177752295727,0.25124061024742916,0.38921401516662396,0.25788658064757397,0.2718435025759427,0.1902399320653146,0.17512146258081812,0.26832528575340947,0.17100549151534472,0.39878715542958965,0.3301317637736402,0.11873329254342807,0.23930676012666108,0.36795718244731557,0.09926211733040813,0.27015642042922505,0.24159042490239324,0.18671345289946606,0.13751183646065107,0.36348059411376044,0.20567351047399174,0.1952266979958766,0.23160078868615153,0.21018279076031993,0.18590068762831818,0.2896387794651154,0.24038023525169755,0.25021692996486455,0.2364145582363456,0.2652768044424212,0.3218707229774837,0.14560766204208425,0.09180234064201936,0.21451138329500907,0.21343004874966032,0.33818521713535016,0.26412317234507837
BAJFINANCE.csv,0.3581407377542905,0.8708031357868455,0.7571216340855913,0.32407412293998616,0.8421633944517591,0.9750037224314161,0.02195980473374196,,0.2022201220819631,0.14314145714959925,0.14620806148849885,0.15166714870129677,0.12956132043547602,0.11593470415283141,0.1374308681377201,0.12008117125302997,0.15104992465550238,0.172542329229734,0.143601256163582,0.2046873510305265,0.14748920123362752,0.14188012915611176,0.1377720630571388,0.11528202848154379,0.1768437692783505,0.16126729035202497,0.17123580128386073,0.13024640017597033,0.16681010014423753,0.10737131603639027,0.1367131909070985,0.15333751744321716,0.12921504256816585,0.07268444837938744,0.18061544472405006,0.13647959403983323,0.14053158851578085,0.1450797333179243,0.1517115468599805,0.10594950383784812,0.18795133380455464,0.1625099399927854,0.14454861641452127,0.12901361838070902,0.14700659261953003,0.1505855115006106,0.14807449068314388,0.12179053819048258,0.07461152834571892,0.14396851725697768,0.17299534338026418,0.1667806113898348
BANKNIFTY.csv,0.4425650950129356,0.48873116208313044,0.08945144224182133,0.49955057390523033,0.051506259434255394,0.39861221598237073,0.39447520353677,0.2022201220819631,,0.03562943446620049,0.050311065695681965,0.5072151568798501,0.00805078527540332,0.03012737561784688,0.09381228411345854,0.04973807543062155,0.006770129420889206,0.08817852862594383,0.2549645810260869,0.5613810691203858,0.8310523263816687,0.33919284410263495,0.41994553187215644,0.7537978290006534,0.09249075031004134,0.9918646742689778,0.8003449761481174,0.1023782840266671,0.13943671459969992,0.7493672838676713,0.04260357670626308,0.06590044319606886,0.043913656045856085,0.20941289383032757,0.17458405379812414,0.07187843541828391,0.19163317258079993,0.10293794827940872,0.9245535920682979,0.18595990708458016,0.16437374073508693,0.25193493425218094,0.02588543329962767,0.4424099318642122,0.4518324068400548,0.7988433650380029,0.38480412451688506,0.710680117570302,0.3051745999898697,0.15698250261629237,0.2613855215545967,0.8323201430631012
BEL.csv,0.4246745109016964,0.10127693427426898,0.03576970459834409,0.38613842305705737,0.11979293347767861,0.26374062132902076,0.2231939208888592,0.14314145714959925,0.03562943446620049,,0.07061956617149114,0.7413843417541645,0.6565395774170923,0.05400857352809042,0.8308587173606471,0.1335762399343377,0.010225741585107365,0.0045356573408931325,0.3530466176588156,0.6634402620597277,0.9893453860789527,0.4278674726208036,0.33206852931450065,0.9800496515914106,0.06489272086689221,0.9929447136720165,0.941792786416948,0.9147300344537042,0.3334260637449239,0.9201548814095755,0.7712378551443573,0.06438174324179473,0.29405410820680195,0.9482148958276899,0.06652962625110433,0.39028146785419904,0.21736307088369855,0.011409109616224048,0.8308645305155723,0.5268946738862816,0.010144552873958409,0.11503063461337015,0.04571708851771551,0.7307944155510447,0.7330084612311597,0.7535278706733604,0.28989577539644673,0.9019518847997388,0.8912307657820178,0.24790123625178462,0.1523035907722214,0.9895317365582214
